2024-05-07 22:30:06:5371	../../../files/testListWithPickListSize100.txt
instanceNumber	DistanceMatrixRunningTime	NumberOfStagnantGeneration	PopulationSize	CrossoverProbability	MutationProbability	CrossoverOperator	MutationOperator	TravelledDistance	RunningTime
3	0	150	50	0.9	0.005	PMX	Swap	3347.232	9.829
3	0	150	50	0.9	0.05	PMX	Swap	2313.14	11.209
3	0	150	50	0.9	0.1	PMX	Swap	2208.696	19.776
3	0	150	100	0.6	0.005	PMX	Swap	3224.16	15.382
3	0	150	100	0.6	0.05	PMX	Swap	2166.596	31.531
3	0	150	100	0.6	0.1	PMX	Swap	1955.548	21.064
3	0	150	100	0.9	0.005	PMX	Swap	2958.24	11.879
3	0	150	100	0.9	0.05	PMX	Swap	2060.696	50.362
3	0	150	100	0.9	0.1	PMX	Swap	1952.82	37.431
3	0	150	200	0.6	0.005	PMX	Swap	2830.388	37.573
3	0	150	200	0.6	0.05	PMX	Swap	2008.58	69.014
3	0	150	200	0.6	0.1	PMX	Swap	1912.764	40.614
3	0	150	200	0.9	0.005	PMX	Swap	2444.88	39.223
3	0	150	200	0.9	0.05	PMX	Swap	1977.756	59.69
3	0	150	200	0.9	0.1	PMX	Swap	1857.776	42.148
4	0	50	50	0.6	0.005	PMX	Swap	4164.008	0.847
4	0	50	50	0.6	0.05	PMX	Swap	2929.068	2.568
4	0	50	50	0.6	0.1	PMX	Swap	2692.308	6.023
4	0	50	50	0.9	0.005	PMX	Swap	4052.796	0.858
4	0	50	50	0.9	0.05	PMX	Swap	2665.896	6.689
4	0	50	50	0.9	0.1	PMX	Swap	2668.44	5.88
4	0	50	100	0.6	0.005	PMX	Swap	3908.844	1.726
4	0	50	100	0.6	0.05	PMX	Swap	2678.636	7.344
4	0	50	100	0.6	0.1	PMX	Swap	2419.38	10.367
4	0	50	100	0.9	0.005	PMX	Swap	3492.456	4.784
4	0	50	100	0.9	0.05	PMX	Swap	2430.852	11.637
4	0	50	100	0.9	0.1	PMX	Swap	2346.692	12.123
4	0	50	200	0.6	0.005	PMX	Swap	3525.652	2.686
4	0	50	200	0.6	0.05	PMX	Swap	2427.176	16.868
4	0	50	200	0.6	0.1	PMX	Swap	2163.704	16.259
4	0	50	200	0.9	0.005	PMX	Swap	3333.904	14.132
4	0	50	200	0.9	0.05	PMX	Swap	2184.048	34.726
4	0	50	200	0.9	0.1	PMX	Swap	2077.844	26.526
4	0	150	50	0.6	0.005	PMX	Swap	3898.892	1.829
4	0	150	50	0.6	0.05	PMX	Swap	2477.316	12.032
4	0	150	50	0.6	0.1	PMX	Swap	2336.936	15.298
4	0	150	50	0.9	0.005	PMX	Swap	3458.26	9.231
4	0	150	50	0.9	0.05	PMX	Swap	2324.576	17.11
4	0	150	50	0.9	0.1	PMX	Swap	2263.572	9.814
4	0	150	100	0.6	0.005	PMX	Swap	3163.004	21.523
4	0	150	100	0.6	0.05	PMX	Swap	2247.524	25.28
4	0	150	100	0.6	0.1	PMX	Swap	2080.056	25.194
4	0	150	100	0.9	0.005	PMX	Swap	3003.072	20.038
4	0	150	100	0.9	0.05	PMX	Swap	2171.532	30.604
4	0	150	100	0.9	0.1	PMX	Swap	2045.74	33.654
4	0	150	200	0.6	0.005	PMX	Swap	2833.036	33.592
4	0	150	200	0.6	0.05	PMX	Swap	2003.456	53.862
4	0	150	200	0.6	0.1	PMX	Swap	2018.712	52.398
4	0	150	200	0.9	0.005	PMX	Swap	2555.428	58.617
4	0	150	200	0.9	0.05	PMX	Swap	2091.308	40.47
4	0	150	200	0.9	0.1	PMX	Swap	1947.664	42.113
5	0	50	50	0.6	0.005	PMX	Swap	4039.176	0.324
5	0	50	50	0.6	0.05	PMX	Swap	2739.552	4.152
5	0	50	50	0.6	0.1	PMX	Swap	2537.86	3.915
5	0	50	50	0.9	0.005	PMX	Swap	3899.84	2.39
5	0	50	50	0.9	0.05	PMX	Swap	2726.684	4.933
5	0	50	50	0.9	0.1	PMX	Swap	2379.12	4.857
5	0	50	100	0.6	0.005	PMX	Swap	3698.66	1.383
5	0	50	100	0.6	0.05	PMX	Swap	2513.4	9.351
5	0	50	100	0.6	0.1	PMX	Swap	2194.496	6.454
5	0	50	100	0.9	0.005	PMX	Swap	3442.316	4.519
5	0	50	100	0.9	0.05	PMX	Swap	2380.328	8.28
5	0	50	100	0.9	0.1	PMX	Swap	2251.192	11.903
5	0	50	200	0.6	0.005	PMX	Swap	3346.956	10.853
5	0	50	200	0.6	0.05	PMX	Swap	2053.556	20.414
5	0	50	200	0.6	0.1	PMX	Swap	1984.704	19.276
5	0	50	200	0.9	0.005	PMX	Swap	3007.836	11.243
5	0	50	200	0.9	0.05	PMX	Swap	1946.548	18.353
5	0	50	200	0.9	0.1	PMX	Swap	1952.088	31.928
5	0	150	50	0.6	0.005	PMX	Swap	3666.068	6.179
5	0	150	50	0.6	0.05	PMX	Swap	2296.116	11.116
5	0	150	50	0.6	0.1	PMX	Swap	1979.524	10.62
5	0	150	50	0.9	0.005	PMX	Swap	3287.572	13.588
5	0	150	50	0.9	0.05	PMX	Swap	2086.044	13.271
5	0	150	50	0.9	0.1	PMX	Swap	2070.34	14.162
5	0	150	100	0.6	0.005	PMX	Swap	3189	10.681
5	0	150	100	0.6	0.05	PMX	Swap	1996.2	29.642
5	0	150	100	0.6	0.1	PMX	Swap	1901.244	15.391
5	0	150	100	0.9	0.005	PMX	Swap	2890.616	18.584
5	0	150	100	0.9	0.05	PMX	Swap	1957.932	32.555
5	0	150	100	0.9	0.1	PMX	Swap	1927.26	28.039
5	0	150	200	0.6	0.005	PMX	Swap	2665.104	32.149
5	0	150	200	0.6	0.05	PMX	Swap	1928.908	34.89
5	0	150	200	0.6	0.1	PMX	Swap	1811.452	31.211
5	0	150	200	0.9	0.005	PMX	Swap	2404.34	81.285
5	0	150	200	0.9	0.05	PMX	Swap	1888.08	67.985
5	0	150	200	0.9	0.1	PMX	Swap	1772.336	54.278

