2024-05-07 21:37:11:9015	../../../files/testListWithPickListSize020.txt
instanceNumber	DistanceMatrixRunningTime	NumberOfStagnantGeneration	PopulationSize	CrossoverProbability	MutationProbability	CrossoverOperator	MutationOperator	TravelledDistance	RunningTime
3	0	150	100	0.6	0.005	PMX	Swap	665.576	0.332
3	0	150	100	0.6	0.05	PMX	Swap	566.24	0.272
3	0	150	100	0.6	0.1	PMX	Swap	548.42	0.44
3	0	150	100	0.9	0.005	PMX	Swap	581.272	0.702
3	0	150	100	0.9	0.05	PMX	Swap	545.056	0.841
3	0	150	100	0.9	0.1	PMX	Swap	547.42	0.388
3	0	150	200	0.6	0.005	PMX	Swap	563.328	0.571
3	0	150	200	0.6	0.05	PMX	Swap	555.748	0.972
3	0	150	200	0.6	0.1	PMX	Swap	521.432	0.507
3	0	150	200	0.9	0.005	PMX	Swap	577.508	0.731
3	0	150	200	0.9	0.05	PMX	Swap	553.308	1.003
3	0	150	200	0.9	0.1	PMX	Swap	514.76	1.028
4	0	50	50	0.6	0.005	PMX	Swap	749.364	0.043
4	0	50	50	0.6	0.05	PMX	Swap	625.456	0.072
4	0	50	50	0.6	0.1	PMX	Swap	601.32	0.134
4	0	50	50	0.9	0.005	PMX	Swap	670.8	0.06
4	0	50	50	0.9	0.05	PMX	Swap	644.852	0.056
4	0	50	50	0.9	0.1	PMX	Swap	587.728	0.222
4	0	50	100	0.6	0.005	PMX	Swap	715.608	0.141
4	0	50	100	0.6	0.05	PMX	Swap	610.712	0.34
4	0	50	100	0.6	0.1	PMX	Swap	547.128	0.14
4	0	50	100	0.9	0.005	PMX	Swap	628.864	0.103
4	0	50	100	0.9	0.05	PMX	Swap	566.748	0.319
4	0	50	100	0.9	0.1	PMX	Swap	504.008	0.335
4	0	50	200	0.6	0.005	PMX	Swap	590.212	0.317
4	0	50	200	0.6	0.05	PMX	Swap	543.256	0.357
4	0	50	200	0.6	0.1	PMX	Swap	543.74	0.243
4	0	50	200	0.9	0.005	PMX	Swap	542.404	0.638
4	0	50	200	0.9	0.05	PMX	Swap	515.072	0.484
4	0	50	200	0.9	0.1	PMX	Swap	499.552	0.508
4	0	150	50	0.6	0.005	PMX	Swap	755.428	0.131
4	0	150	50	0.6	0.05	PMX	Swap	536.644	0.359
4	0	150	50	0.6	0.1	PMX	Swap	571.86	0.232
4	0	150	50	0.9	0.005	PMX	Swap	682.62	0.518
4	0	150	50	0.9	0.05	PMX	Swap	613.268	0.326
4	0	150	50	0.9	0.1	PMX	Swap	570.54	0.637
4	0	150	100	0.6	0.005	PMX	Swap	609.908	0.346
4	0	150	100	0.6	0.05	PMX	Swap	534.8	0.58
4	0	150	100	0.6	0.1	PMX	Swap	574.136	0.252
4	0	150	100	0.9	0.005	PMX	Swap	666.556	0.975
4	0	150	100	0.9	0.05	PMX	Swap	518.512	0.596
4	0	150	100	0.9	0.1	PMX	Swap	549.668	0.329
4	0	150	200	0.6	0.005	PMX	Swap	541.992	2.133
4	0	150	200	0.6	0.05	PMX	Swap	519.256	0.981
4	0	150	200	0.6	0.1	PMX	Swap	520.9	0.668
4	0	150	200	0.9	0.005	PMX	Swap	554.212	0.589
4	0	150	200	0.9	0.05	PMX	Swap	538.372	0.656
4	0	150	200	0.9	0.1	PMX	Swap	506.408	0.836
5	0	50	50	0.6	0.005	PMX	Swap	717.68	0.07
5	0	50	50	0.6	0.05	PMX	Swap	648.04	0.14
5	0	50	50	0.6	0.1	PMX	Swap	639.08	0.159
5	0	50	50	0.9	0.005	PMX	Swap	703.088	0.044
5	0	50	50	0.9	0.05	PMX	Swap	609.316	0.181
5	0	50	50	0.9	0.1	PMX	Swap	582.58	0.787
5	0	50	100	0.6	0.005	PMX	Swap	681.156	0.071
5	0	50	100	0.6	0.05	PMX	Swap	579.412	0.222
5	0	50	100	0.6	0.1	PMX	Swap	581.024	0.261
5	0	50	100	0.9	0.005	PMX	Swap	605.452	0.168
5	0	50	100	0.9	0.05	PMX	Swap	573.788	0.191
5	0	50	100	0.9	0.1	PMX	Swap	551.532	0.384
5	0	50	200	0.6	0.005	PMX	Swap	635.644	0.192
5	0	50	200	0.6	0.05	PMX	Swap	555.616	0.499
5	0	50	200	0.6	0.1	PMX	Swap	550.332	0.544
5	0	50	200	0.9	0.005	PMX	Swap	595.552	0.39
5	0	50	200	0.9	0.05	PMX	Swap	577.048	0.738
5	0	50	200	0.9	0.1	PMX	Swap	540.088	0.466
5	0	150	50	0.6	0.005	PMX	Swap	727.312	0.255
5	0	150	50	0.6	0.05	PMX	Swap	660.512	0.233
5	0	150	50	0.6	0.1	PMX	Swap	607.104	0.242
5	0	150	50	0.9	0.005	PMX	Swap	676.248	0.617
5	0	150	50	0.9	0.05	PMX	Swap	592.024	0.231
5	0	150	50	0.9	0.1	PMX	Swap	596.86	0.723
5	0	150	100	0.6	0.005	PMX	Swap	639.024	0.731
5	0	150	100	0.6	0.05	PMX	Swap	574.08	0.418
5	0	150	100	0.6	0.1	PMX	Swap	584.772	0.284
5	0	150	100	0.9	0.005	PMX	Swap	572.48	0.507
5	0	150	100	0.9	0.05	PMX	Swap	574.296	0.461
5	0	150	100	0.9	0.1	PMX	Swap	543.792	0.337
5	0	150	200	0.6	0.005	PMX	Swap	604.076	1.093
5	0	150	200	0.6	0.05	PMX	Swap	542.676	0.666
5	0	150	200	0.6	0.1	PMX	Swap	539.84	1.188
5	0	150	200	0.9	0.005	PMX	Swap	557.588	1.07
5	0	150	200	0.9	0.05	PMX	Swap	573.228	1.186
5	0	150	200	0.9	0.1	PMX	Swap	558.296	1.14

